Date;Time;PV_Power
7/18/22;16.45;46.40667
7/18/22;17.0;27.42333
7/18/22;17.15;35.7
7/18/22;17.3;28.56
7/18/22;17.45;31.38667
7/18/22;18.0;21.95667
7/18/22;18.15;10.56333
7/18/22;18.3;7.383334
7/18/22;18.45;3.7
7/18/22;19.0;4.166667
7/18/22;19.15;3.066667
7/18/22;19.3;4.466667
7/18/22;19.45;3.533333
7/18/22;20.0;1.82
7/18/22;20.15;0.0
7/18/22;20.3;0.0
7/18/22;20.45;0.0
7/18/22;21.0;0.0
7/18/22;21.15;0.0
7/18/22;21.3;0.0
7/18/22;21.45;0.0
7/18/22;22.0;0.0
7/18/22;22.15;0.0
7/18/22;22.3;0.0
7/18/22;22.45;0.0
7/18/22;23.0;0.0
7/18/22;23.15;0.0
7/18/22;23.3;0.0
7/18/22;23.45;0.0
7/19/22;0.0;0.0
7/19/22;0.15;0.0
7/19/22;0.3;0.0
7/19/22;0.45;0.0
7/19/22;1.0;0.0
7/19/22;1.15;0.0
7/19/22;1.3;0.0
7/19/22;1.45;0.0
7/19/22;2.0;0.0
7/19/22;2.15;0.0
7/19/22;2.3;0.0
7/19/22;2.45;0.0
7/19/22;3.0;0.0
7/19/22;3.15;0.0
7/19/22;3.3;0.0
7/19/22;3.45;0.0
7/19/22;4.0;0.0
7/19/22;4.15;0.0
7/19/22;4.3;0.0
7/19/22;4.45;0.0
7/19/22;5.0;0.0
7/19/22;5.15;0.0
7/19/22;5.3;0.0
7/19/22;5.45;0.0
7/19/22;6.0;0.0
7/19/22;6.15;0.4666667
7/19/22;6.3;1.366667
7/19/22;6.45;2.4
7/19/22;7.0;4.166667
7/19/22;7.15;6.9
7/19/22;7.3;10.26667
7/19/22;7.45;13.86
7/19/22;8.0;18.16667
7/19/22;8.15;22.86667
7/19/22;8.3;27.80667
7/19/22;8.45;32.53333
7/19/22;9.0;36.93333
7/19/22;9.15;41.56667
7/19/22;9.3;46.47667
7/19/22;9.45;51.09333
7/19/22;10.0;56.41
7/19/22;10.15;57.31667
7/19/22;10.3;65.36
7/19/22;10.45;70.93333
7/19/22;11.0;58.42
7/19/22;11.15;59.43
7/19/22;11.3;78.46333
7/19/22;11.45;78.4
7/19/22;12.0;79.83333
7/19/22;12.15;81.97333
7/19/22;12.3;83.43333
7/19/22;12.45;83.91666
7/19/22;13.0;87.8
7/19/22;13.15;62.29
7/19/22;13.3;73.76334
7/19/22;13.45;75.0
7/19/22;14.0;66.93667
7/19/22;14.15;89.50667
7/19/22;14.3;66.63
7/19/22;14.45;70.86667
7/19/22;15.0;60.50333
7/19/22;15.15;79.17
7/19/22;15.3;73.43667
7/19/22;15.45;69.94334
7/19/22;16.0;63.89667
7/19/22;16.15;59.80667
7/19/22;16.3;57.19333
7/19/22;16.45;57.91
7/19/22;17.0;51.39667
7/19/22;17.15;44.25333
7/19/22;17.3;33.83
7/19/22;17.45;29.00333
7/19/22;18.0;18.75667
7/19/22;18.15;19.74667
7/19/22;18.3;19.03667
7/19/22;18.45;12.13
7/19/22;19.0;9.633333
7/19/22;19.15;6.733333
7/19/22;19.3;4.333333
7/19/22;19.45;2.4
7/19/22;20.0;1.133333
7/19/22;20.15;0.0
7/19/22;20.3;0.0
7/19/22;20.45;0.0
7/19/22;21.0;0.0
7/19/22;21.15;0.0
7/19/22;21.3;0.0
7/19/22;21.45;0.0
7/19/22;22.0;0.0
7/19/22;22.15;0.0
7/19/22;22.3;0.0
7/19/22;22.45;0.0
7/19/22;23.0;0.0
7/19/22;23.15;0.0
7/19/22;23.3;0.0
7/19/22;23.45;0.0
7/20/22;0.0;0.0
7/20/22;0.15;0.0
7/20/22;0.3;0.0
7/20/22;0.45;0.0
7/20/22;1.0;0.0
7/20/22;1.15;0.0
7/20/22;1.3;0.0
7/20/22;1.45;0.0
7/20/22;2.0;0.0
7/20/22;2.15;0.0
7/20/22;2.3;0.0
7/20/22;2.45;0.0
7/20/22;3.0;0.0
7/20/22;3.15;0.0
7/20/22;3.3;0.0
7/20/22;3.45;0.0
7/20/22;4.0;0.0
7/20/22;4.15;0.0
7/20/22;4.3;0.0
7/20/22;4.45;0.0
7/20/22;5.0;0.0
7/20/22;5.15;0.0
7/20/22;5.3;0.0
7/20/22;5.45;0.0
7/20/22;6.0;0.0
7/20/22;6.15;0.1333333
7/20/22;6.3;1.366667
7/20/22;6.45;2.8
7/20/22;7.0;4.733333
7/20/22;7.15;7.333333
7/20/22;7.3;10.86667
7/20/22;7.45;15.14667
7/20/22;8.0;16.32333
7/20/22;8.15;20.49667
7/20/22;8.3;26.4
7/20/22;8.45;31.36667
7/20/22;9.0;35.50667
7/20/22;9.15;39.86667
7/20/22;9.3;44.9
7/20/22;9.45;50.3
7/20/22;10.0;56.48333
7/20/22;10.15;55.8
7/20/22;10.3;62.57666
7/20/22;10.45;65.1
7/20/22;11.0;67.86667
7/20/22;11.15;69.8
7/20/22;11.3;72.1
7/20/22;11.45;73.96667
7/20/22;12.0;75.60001
7/20/22;12.15;76.3
7/20/22;12.3;77.16667
7/20/22;12.45;78.35333
7/20/22;13.0;76.70333
7/20/22;13.15;73.42667
7/20/22;13.3;74.79
7/20/22;13.45;72.36667
7/20/22;14.0;80.39333
7/20/22;14.15;77.52334
7/20/22;14.3;76.27333
7/20/22;14.45;57.29333
7/20/22;15.0;59.12
7/20/22;15.15;60.23333
7/20/22;15.3;66.65
7/20/22;15.45;63.93667
7/20/22;16.0;61.61
7/20/22;16.15;59.60667
7/20/22;16.3;47.31334
7/20/22;16.45;50.95
7/20/22;17.0;43.31333
7/20/22;17.15;21.14
7/20/22;17.3;17.34667
7/20/22;17.45;27.8
7/20/22;18.0;20.10333
7/20/22;18.15;15.80667
7/20/22;18.3;11.33667
7/20/22;18.45;11.15
7/20/22;19.0;12.55
7/20/22;19.15;9.066667
7/20/22;19.3;5.556667
7/20/22;19.45;4.273334
7/20/22;20.0;2.036667
7/20/22;20.15;1.0
7/20/22;20.3;0.0
7/20/22;20.45;0.0
7/20/22;21.0;0.0
7/20/22;21.15;0.0
7/20/22;21.3;0.0
7/20/22;21.45;0.0
7/20/22;22.0;0.0
7/20/22;22.15;0.0
7/20/22;22.3;0.0
7/20/22;22.45;0.0
7/20/22;23.0;0.0
7/20/22;23.15;0.0
7/20/22;23.3;0.0
7/20/22;23.45;0.0
7/21/22;0.0;0.0
7/21/22;0.15;0.0
7/21/22;0.3;0.0
7/21/22;0.45;0.0
7/21/22;1.0;0.0
7/21/22;1.15;0.0
7/21/22;1.3;0.0
7/21/22;1.45;0.0
7/21/22;2.0;0.0
7/21/22;2.15;0.0
7/21/22;2.3;0.0
7/21/22;2.45;0.0
7/21/22;3.0;0.0
7/21/22;3.15;0.0
7/21/22;3.3;0.0
7/21/22;3.45;0.0
7/21/22;4.0;0.0
7/21/22;4.15;0.0
7/21/22;4.3;0.0
7/21/22;4.45;0.0
7/21/22;5.0;0.0
7/21/22;5.15;0.0
7/21/22;5.3;0.0
7/21/22;5.45;0.0
7/21/22;6.0;0.0
7/21/22;6.15;0.5
7/21/22;6.3;1.7
7/21/22;6.45;3.266667
7/21/22;7.0;4.666667
7/21/22;7.15;7.0
7/21/22;7.3;10.23333
7/21/22;7.45;13.63333
7/21/22;8.0;17.39333
7/21/22;8.15;21.89
7/21/22;8.3;26.72333
7/21/22;8.45;31.31333
7/21/22;9.0;35.38667
7/21/22;9.15;40.48
7/21/22;9.3;44.85
7/21/22;9.45;50.47334
7/21/22;10.0;54.91333
7/21/22;10.15;58.21333
7/21/22;10.3;63.03333
7/21/22;10.45;65.75333
7/21/22;11.0;69.68333
7/21/22;11.15;72.66667
7/21/22;11.3;73.98666
7/21/22;11.45;75.36667
7/21/22;12.0;77.47
7/21/22;12.15;76.93667
7/21/22;12.3;80.09333
7/21/22;12.45;80.23
7/21/22;13.0;81.56667
7/21/22;13.15;82.13334
7/21/22;13.3;82.2
7/21/22;13.45;81.3
7/21/22;14.0;80.66667
7/21/22;14.15;79.4
7/21/22;14.3;77.93333
7/21/22;14.45;76.53333
7/21/22;15.0;74.8
7/21/22;15.15;72.63333
7/21/22;15.3;70.04
7/21/22;15.45;67.33334
7/21/22;16.0;63.5
7/21/22;16.15;60.43333
7/21/22;16.3;56.33333
7/21/22;16.45;52.36666
7/21/22;17.0;47.90667
7/21/22;17.15;40.93667
7/21/22;17.3;31.49667
7/21/22;17.45;25.19
7/21/22;18.0;20.73333
7/21/22;18.15;17.04
7/21/22;18.3;14.36667
7/21/22;18.45;11.36667
7/21/22;19.0;8.833333
7/21/22;19.15;6.3
7/21/22;19.3;4.12
7/21/22;19.45;2.196667
7/21/22;20.0;0.45
7/21/22;20.15;0.0
7/21/22;20.3;0.0
7/21/22;20.45;0.0
7/21/22;21.0;0.0
7/21/22;21.15;0.0
7/21/22;21.3;0.0
7/21/22;21.45;0.0
7/21/22;22.0;0.0
7/21/22;22.15;0.0
7/21/22;22.3;0.0
7/21/22;22.45;0.0
7/21/22;23.0;0.0
7/21/22;23.15;0.0
7/21/22;23.3;0.0
7/21/22;23.45;0.0
7/22/22;0.0;0.0
7/22/22;0.15;0.0
7/22/22;0.3;0.0
7/22/22;0.45;0.0
7/22/22;1.0;0.0
7/22/22;1.15;0.0
7/22/22;1.3;0.0
7/22/22;1.45;0.0
7/22/22;2.0;0.0
7/22/22;2.15;0.0
7/22/22;2.3;0.0
7/22/22;2.45;0.0
7/22/22;3.0;0.0
7/22/22;3.15;0.0
7/22/22;3.3;0.0
7/22/22;3.45;0.0
7/22/22;4.0;0.0
7/22/22;4.15;0.0
7/22/22;4.3;0.0
7/22/22;4.45;0.0
7/22/22;5.0;0.0
7/22/22;5.15;0.0
7/22/22;5.3;0.0
7/22/22;5.45;0.0
7/22/22;6.0;0.0
7/22/22;6.15;0.3666667
7/22/22;6.3;1.4
7/22/22;6.45;2.5
7/22/22;7.0;4.2
7/22/22;7.15;6.633333
7/22/22;7.3;9.6
7/22/22;7.45;12.81
7/22/22;8.0;17.64333
7/22/22;8.15;22.5
7/22/22;8.3;24.30333
7/22/22;8.45;32.08
7/22/22;9.0;31.28667
7/22/22;9.15;39.44
7/22/22;9.3;43.93333
7/22/22;9.45;49.31667
7/22/22;10.0;54.3
7/22/22;10.15;57.6
7/22/22;10.3;61.03667
7/22/22;10.45;60.75
7/22/22;11.0;65.91
7/22/22;11.15;69.00667
7/22/22;11.3;71.3
7/22/22;11.45;73.55333
7/22/22;12.0;75.5
7/22/22;12.15;77.0
7/22/22;12.3;77.43333
7/22/22;12.45;79.16667
7/22/22;13.0;80.4
7/22/22;13.15;80.4
7/22/22;13.3;80.4
7/22/22;13.45;80.4
7/22/22;14.0;79.9
7/22/22;14.15;78.33334
7/22/22;14.3;76.0
7/22/22;14.45;75.24
7/22/22;15.0;73.23333
7/22/22;15.15;71.46667
7/22/22;15.3;68.50666
7/22/22;15.45;65.02
7/22/22;16.0;61.80667
7/22/22;16.15;59.26667
7/22/22;16.3;55.73667
7/22/22;16.45;47.9
7/22/22;17.0;47.62
7/22/22;17.15;39.58667
7/22/22;17.3;31.08333
7/22/22;17.45;24.87667
7/22/22;18.0;20.93333
7/22/22;18.15;16.86333
7/22/22;18.3;13.03667
7/22/22;18.45;8.88
7/22/22;19.0;7.746666
7/22/22;19.15;6.233333
7/22/22;19.3;3.633333
7/22/22;19.45;0.95
7/22/22;20.0;0.0
7/22/22;20.15;0.0
7/22/22;20.3;0.0
7/22/22;20.45;0.0
7/22/22;21.0;0.0
7/22/22;21.15;0.0
7/22/22;21.3;0.0
7/22/22;21.45;0.0
7/22/22;22.0;0.0
7/22/22;22.15;0.0
7/22/22;22.3;0.0
7/22/22;22.45;0.0
7/22/22;23.0;0.0
7/22/22;23.15;0.0
7/22/22;23.3;0.0
7/22/22;23.45;0.0
7/23/22;0.0;0.0
7/23/22;0.15;0.0
7/23/22;0.3;0.0
7/23/22;0.45;0.0
7/23/22;1.0;0.0
7/23/22;1.15;0.0
7/23/22;1.3;0.0
7/23/22;1.45;0.0
7/23/22;2.0;0.0
7/23/22;2.15;0.0
7/23/22;2.3;0.0
7/23/22;2.45;0.0
7/23/22;3.0;0.0
7/23/22;3.15;0.0
7/23/22;3.3;0.0
7/23/22;3.45;0.0
7/23/22;4.0;0.0
7/23/22;4.15;0.0
7/23/22;4.3;0.0
7/23/22;4.45;0.0
7/23/22;5.0;0.0
7/23/22;5.15;0.0
7/23/22;5.3;0.0
7/23/22;5.45;0.0
7/23/22;6.0;0.0
7/23/22;6.15;0.2333333
7/23/22;6.3;1.1
7/23/22;6.45;2.3
7/23/22;7.0;4.1
7/23/22;7.15;6.343333
7/23/22;7.3;9.466667
7/23/22;7.45;12.96667
7/23/22;8.0;17.23333
7/23/22;8.15;21.71
7/23/22;8.3;26.53333
7/23/22;8.45;31.12667
7/23/22;9.0;35.5
7/23/22;9.15;39.99333
7/23/22;9.3;45.06667
7/23/22;9.45;50.53
7/23/22;10.0;55.17667
7/23/22;10.15;58.9
7/23/22;10.3;62.46667
7/23/22;10.45;65.32667
7/23/22;11.0;68.23333
7/23/22;11.15;70.26667
7/23/22;11.3;72.18
7/23/22;11.45;74.2
7/23/22;12.0;76.29333
7/23/22;12.15;78.2
7/23/22;12.3;79.4
7/23/22;12.45;79.6
7/23/22;13.0;81.03333
7/23/22;13.15;81.4
7/23/22;13.3;81.6
7/23/22;13.45;80.32667
7/23/22;14.0;78.96667
7/23/22;14.15;78.3
7/23/22;14.3;78.60001
7/23/22;14.45;77.10001
7/23/22;15.0;75.60001
7/23/22;15.15;72.75
7/23/22;15.3;69.82333
7/23/22;15.45;67.26667
7/23/22;16.0;63.78334
7/23/22;16.15;60.57333
7/23/22;16.3;57.5
7/23/22;16.45;53.43333
7/23/22;17.0;48.93333
7/23/22;17.15;41.87333
7/23/22;17.3;31.85333
7/23/22;17.45;25.19333
